kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals
通;10;2;80;3;4;[Traffic, Pass Through, Avenue, Commute, Counter For Letters, Notes,, Documents,, Etc.],;[つう, つ];[とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う];;[Pass Through];[つう];[とお, かよ];[Scooter, Mama, Task];
外;5;2;81;4;5;[Outside];[がい, げ];[そと, ほか, はず.す, はず.れる, と-];3;[Outside];[がい];[そと, はず];[Evening, Toe];;;;
最;12;4;82;2;3;[Utmost, Most, Extreme];[さい, しゅ];[もっと.も, つま];10;[Most];[さい];[もっと];[Sun, Ear, Stool];;;;
言;7;2;83;4;4;[Say, Word];[げん, ごん];[い.う, こと];5;[Say];[げん, ごん];[い, こと];[Say];;;;
氏;4;4;84;1;1;[Family Name, Surname, Clan];[し];[うじ, -うじ];7;[Family Name, Last Name, Surname];[し];[うじ];[Clan];;;;
現;11;5;85;2;3;[Present, Existing, Actual];[げん];[あらわ.れる, あらわ.す, うつつ, うつ.つ];23;[Present Time, Present];[げん];[あらわ];[King, See];;;;
理;11;2;86;3;4;[Logic, Arrangement, Reason, Justice, Truth];[り];[ことわり];7;[Reason];[り];[ことわり];[King, Village];;;;
調;15;3;87;2;3;[Tune, Tone, Meter, Key (music), Writing Style, Prepare, Exorcise, Investigate, Harmonize, Mediate];[ちょう];[しら.べる, しら.べ, ととの.う, ととの.える];10;[Investigate, Tone];[ちょう];[しら];[Say, Circumference];;;;
体;7;2;88;3;4;[Body, Substance, Object, Reality, Counter For Images];[たい, てい];[からだ, かたち];5;[Body];[たい];[からだ];[Leader, Book];;;;
化;4;3;89;2;3;[Change, Take The Form Of, Influence, Enchant, Delude, -ization];[か, け];[ば.ける, ば.かす, ふ.ける, け.する];6;[Change];[か];[ば];[Leader, Spoon];;;;
田;5;1;90;3;4;[Rice Field, Rice Paddy];[でん];[た];2;[Rice Paddy, Rice Field, Field];[でん];[た];[Rice Paddy];;;;
当;6;2;91;2;3;[Hit, Right, Appropriate, Himself];[とう];[あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし];5;[Correct, Right, Success];[とう];[あ];[Triceratops, Wolverine];;;;
八;2;1;92;4;5;[Eight, Eight Radical (no. 12)];[はち];[や, や.つ, やっ.つ, よう];1;[Eight];[はち];[や, よう];[Fins];;;;
六;4;1;93;4;5;[Six];[ろく, りく];[む, む.つ, むっ.つ, むい];2;[Six];[ろく];[む];[Lid, Fins];;;;
約;9;4;94;2;3;[Promise, Approximately, Shrink];[やく];[つづ.まる, つづ.める, つづま.やか];14;[Promise];[やく];[];[Thread, Pool];;;;
主;5;3;95;3;4;[Lord, Chief, Master, Main Thing, Principal];[しゅ, す, しゅう];[ぬし, おも, あるじ];4;[Master, Main];[しゅ];[おも, ぬし];[Master];;;;
題;18;3;96;3;4;[Topic, Subject];[だい];[];13;[Topic];[だい];[];[Sun, Correct, Geoduck];;;;
下;3;1;97;4;5;[Below, Down, Descend, Give, Low, Inferior];[か, げ];[した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる];1;[Below, Down, Under, Beneath];[か, げ];[した, さ, くだ, お];[Ground, Toe];;;;
首;9;2;98;3;3;[Neck, Counter For Songs And Poems];[しゅ];[くび];6;[Neck];[しゅ];[くび];[Neck];;;;
意;13;3;99;3;4;[Idea, Mind, Heart, Taste, Thought, Desire, Care, Liking];[い];[];11;[Idea];[い];[];[Sound, Heart];;;;
法;8;4;100;2;3;[Method, Law, Rule, Principle, Model, System];[ほう, はっ, ほっ, ふらん];[のり];15;[Method, Law];[ほう];[];[Tsunami, Past];;;;
不;4;4;101;3;4;[Negative, Non-, Bad, Ugly, Clumsy];[ふ, ぶ];[];4;[Not];[ふ];[];[Not];;;;
来;7;2;102;4;5;[Come, Due, Next, Cause, Become];[らい, たい];[く.る, きた.る, きた.す, き.たす, き.たる, き, こ];5;[Come, Next];[らい];[く];[Ground, Rice];;;;
